Unique DAG ID,DAG Input,Function Name,Input Feature,Duration,Parallel Duration,Memory_Allocated,CPU_Allocated,Max Memory Usage,Max CPU Usage,Start Time,End Time,Timeout Status
AS-95448d27-e283-47b9-a58b-14ca0f2e6a92,0.005723558897243107,AES3,0.014194736842105263,17453,17453,256,8,42.622976,5.42225,1711076909679,1711076927132,False
AS-95448d27-e283-47b9-a58b-14ca0f2e6a92,0.005723558897243107,Stats,,23,,128,1,14.385152,0.0047272727272727275,1711076927335,1711076927358,False
AS-d6ad890d-dfb9-4a87-b31b-502d0e83b693,0.00898170426065163,wait1,,1006,,128,1,10.006528,0.01940625,1711076927879,1711076928885,False
AS-d6ad890d-dfb9-4a87-b31b-502d0e83b693,0.00898170426065163,AES1,0.004420300751879699,20610,22321,256,8,28.22144,2.003060975609756,1711076928974,1711076949584,False
AS-d6ad890d-dfb9-4a87-b31b-502d0e83b693,0.00898170426065163,AES2,0.01028496240601504,22094,22321,256,8,37.076992,4.2876315789473685,1711076928976,1711076951070,False
AS-d6ad890d-dfb9-4a87-b31b-502d0e83b693,0.00898170426065163,AES3,0.012239849624060151,22321,22321,256,8,39.882752,4.556275,1711076928976,1711076951297,False
AS-d6ad890d-dfb9-4a87-b31b-502d0e83b693,0.00898170426065163,Stats,,24,,128,1,14.385152,0.00496875,1711076951841,1711076951865,False
AS-c4b7d816-3f83-42a7-8658-408b2c941e1a,0.0037581453634085212,wait1,,1006,,128,1,9.752576,0.017750000000000002,1711076952405,1711076953411,False
AS-c4b7d816-3f83-42a7-8658-408b2c941e1a,0.0037581453634085212,AES1,0.0024548872180451126,10074,10074,256,8,25.493504,1.3587272727272728,1711076953496,1711076963570,False
AS-c4b7d816-3f83-42a7-8658-408b2c941e1a,0.0037581453634085212,AES2,0.0024548872180451126,9216,10074,256,8,25.82528,1.357753246753247,1711076953496,1711076962712,False
AS-c4b7d816-3f83-42a7-8658-408b2c941e1a,0.0037581453634085212,AES3,0.0063646616541353385,9467,10074,256,8,31.256576,2.78144,1711076953496,1711076962963,False
AS-c4b7d816-3f83-42a7-8658-408b2c941e1a,0.0037581453634085212,Stats,,24,,128,1,14.647296,0.005515151515151515,1711076964137,1711076964161,False
AS-a716a454-069a-47e0-afd5-e6203961a3a2,0.006375187969924812,wait1,,1007,,128,1,9.760768,0.028566666666666667,1711076964645,1711076965652,False
AS-a716a454-069a-47e0-afd5-e6203961a3a2,0.006375187969924812,AES1,0.004420300751879699,17575,17971,256,8,28.123136,2.086813333333333,1711076965757,1711076983332,False
AS-a716a454-069a-47e0-afd5-e6203961a3a2,0.006375187969924812,AES2,0.004420300751879699,17971,17971,256,8,28.626944,2.0475714285714286,1711076965756,1711076983727,False
AS-a716a454-069a-47e0-afd5-e6203961a3a2,0.006375187969924812,AES3,0.01028496240601504,17873,17971,256,8,36.92544,4.09321052631579,1711076965754,1711076983627,False
AS-a716a454-069a-47e0-afd5-e6203961a3a2,0.006375187969924812,Stats,,26,,128,1,14.413824,0.0055000000000000005,1711076983814,1711076983840,False
AS-c2d67b3b-4bf3-4863-8f17-d82fff21a9cb,0.006338345864661654,wait1,,1006,,128,1,10.039296,0.020419354838709675,1711076984329,1711076985335,False
AS-c2d67b3b-4bf3-4863-8f17-d82fff21a9cb,0.006338345864661654,AES1,0.004383458646616541,3809,3963,256,8,28.340224,2.0583552631578947,1711076985377,1711076989186,False
AS-c2d67b3b-4bf3-4863-8f17-d82fff21a9cb,0.006338345864661654,AES2,0.006338345864661654,3861,3963,256,8,31.944704,2.6127624999999997,1711076985376,1711076989237,False
AS-c2d67b3b-4bf3-4863-8f17-d82fff21a9cb,0.006338345864661654,AES3,0.008293233082706767,3963,3963,256,8,34.381824,3.255675,1711076985376,1711076989339,False
AS-c2d67b3b-4bf3-4863-8f17-d82fff21a9cb,0.006338345864661654,Stats,,25,,128,1,14.413824,0.004937500000000001,1711076989409,1711076989434,False
AS-fd55917d-2d38-4e56-a0a2-ae6bd63e5c19,0.007667919799498747,wait1,,1008,,128,1,9.80992,0.020999999999999998,1711076989927,1711076990935,False
AS-fd55917d-2d38-4e56-a0a2-ae6bd63e5c19,0.007667919799498747,AES1,0.0063646616541353385,15323,15611,256,8,31.010816,2.6443421052631577,1711076991003,1711077006326,False
AS-fd55917d-2d38-4e56-a0a2-ae6bd63e5c19,0.007667919799498747,AES2,0.0024548872180451126,15423,15611,256,8,26.042368,1.3317466666666666,1711076991003,1711077006426,False
AS-fd55917d-2d38-4e56-a0a2-ae6bd63e5c19,0.007667919799498747,AES3,0.014184210526315789,15611,15611,256,8,42.889216,5.214133333333333,1711076991003,1711077006614,False
AS-fd55917d-2d38-4e56-a0a2-ae6bd63e5c19,0.007667919799498747,Stats,,23,,128,1,14.45888,0.006233333333333334,1711077006704,1711077006727,False
AS-5fd1f0b9-ca03-4ddf-990f-ea4d0df895ee,0.006995238095238096,wait1,,1005,,128,1,10.07616,0.0180625,1711077007255,1711077008260,False
AS-5fd1f0b9-ca03-4ddf-990f-ea4d0df895ee,0.006995238095238096,AES1,0.0004789473684210526,5697,6087,256,8,23.678976,0.6571375,1711077008299,1711077013996,False
AS-5fd1f0b9-ca03-4ddf-990f-ea4d0df895ee,0.006995238095238096,AES2,0.006343609022556391,6087,6087,256,8,31.408128,2.6612727272727272,1711077008294,1711077014381,False
AS-5fd1f0b9-ca03-4ddf-990f-ea4d0df895ee,0.006995238095238096,AES3,0.014163157894736843,6048,6087,256,8,42.811392,5.2205,1711077008298,1711077014346,False
AS-5fd1f0b9-ca03-4ddf-990f-ea4d0df895ee,0.006995238095238096,Stats,,23,,128,1,14.487552,0.004875,1711077014639,1711077014662,False
AS-901ba4f0-56a6-4f98-bc62-abbf094d360e,0.008955388471177946,wait1,,1007,,128,1,10.080256,0.019290322580645163,1711077015167,1711077016174,False
AS-901ba4f0-56a6-4f98-bc62-abbf094d360e,0.008955388471177946,AES1,0.0024390977443609022,9073,9987,256,8,25.677824,1.326578947368421,1711077016218,1711077025291,False
AS-901ba4f0-56a6-4f98-bc62-abbf094d360e,0.008955388471177946,AES2,0.010258646616541354,9737,9987,256,8,37.1712,3.8518684210526315,1711077016213,1711077025950,False
AS-901ba4f0-56a6-4f98-bc62-abbf094d360e,0.008955388471177946,AES3,0.01416842105263158,9987,9987,256,8,42.430464,4.906853658536585,1711077016216,1711077026203,False
AS-901ba4f0-56a6-4f98-bc62-abbf094d360e,0.008955388471177946,Stats,,23,,128,1,14.52032,0.005516129032258065,1711077026276,1711077026299,False
AS-a755f525-b105-4ff3-8924-748c1503c74c,0.004393984962406015,wait1,,1007,,128,1,9.838592,0.02090322580645161,1711077026825,1711077027832,False
AS-a755f525-b105-4ff3-8924-748c1503c74c,0.004393984962406015,AES1,0.00048421052631578945,5675,6889,256,8,22.757376,0.67924,1711077027868,1711077033543,False
AS-a755f525-b105-4ff3-8924-748c1503c74c,0.004393984962406015,AES2,0.006348872180451128,5725,6889,256,8,31.715328,2.673076923076923,1711077027868,1711077033593,False
AS-a755f525-b105-4ff3-8924-748c1503c74c,0.004393984962406015,AES3,0.006348872180451128,6889,6889,256,8,31.215616,2.7093896103896102,1711077027867,1711077034756,False
AS-a755f525-b105-4ff3-8924-748c1503c74c,0.004393984962406015,Stats,,23,,128,1,14.487552,0.0047272727272727275,1711077034824,1711077034847,False
