Unique DAG ID,DAG Input Content,DAG Input Size,Function Name,Function Input,Duration,Parallel Duration,Memory_Allocated,CPU_Allocated,Max Memory Usage,Max CPU Usage,Avg CPU Usage,Start Time,End Time,Timeout Status,Input File,Predicted Input Size,Predicted Max CPU Usage,Predicted Max Memory Usage
AS-ee41ba79-2836-492d-b63f-93e21acfd1f8,50,5200,AES3,46800,6086,6086.0,256,8,36.585472,2.0013589743589746,1.8507315184683368,1712868205778,1712868211864,False,./profiling/aes_inputs/run33.json,46917.0,1.9688440650701486,35.27991296000003
AS-e1136638-9819-4a54-9819-37ccb90498a8,50,11900,AES1,11900,4722,14395.0,256,8,24.133632,0.8947608695652174,0.6235178626737226,1712868213472,1712868218194,False,./profiling/aes_inputs/run100.json,11897.0,0.6762572641813678,24.24360960000001
AS-c00577ff-4499-4d2e-9269-37158854674f,50,7000,AES2,28000,5306,8139.0,256,8,29.790208,1.30258125,1.2474088644169834,1712868229563,1712868234869,False,./profiling/aes_inputs/run51.json,27764.0,1.3140060940160603,30.974402559999994
AS-bc3d3612-837c-4cad-badc-f5556c3ffe2a,50,3300,wait1,3300,1012,,128,1,10.891264,0.0194848484848484,0.0076662386867048,1712868256184,1712868257196,False,./profiling/aes_inputs/run14.json,3274.0,0.014977721410533839,10.47007232
AS-bc3d3612-837c-4cad-badc-f5556c3ffe2a,50,3300,AES2,13200,2550,4117.0,256,8,30.1056,1.3339166666666666,1.2371568468193843,1712868257246,1712868259796,False,./profiling/aes_inputs/run14.json,13056.0,1.4696266026389304,30.56144383999999
AS-bc3d3612-837c-4cad-badc-f5556c3ffe2a,50,3300,Stats,3300,24,,128,1,14.11072,0.00446875,0.00446875,1712868261390,1712868261414,False,./profiling/aes_inputs/run14.json,3271.0,0.003859997596153822,13.961134079999995
AS-f96b26fc-43b4-482a-991e-4c128ea7529b,50,5700,AES1,5700,2241,6638.0,256,8,24.317952,0.65301875,0.6153672465420068,1712868277580,1712868279821,False,./profiling/aes_inputs/run38.json,5699.0,0.6517107468084297,23.671357440000023
AS-07a5e322-261f-4154-b75e-ff4134c57e6c,50,10600,AES3,95400,13230,13230.0,256,8,36.753408,3.20182,1.87363421965618,1712868297690,1712868310920,False,./profiling/aes_inputs/run87.json,94788.0,1.9929244896344367,35.71662847999997
AS-fd8fcd42-8ace-4588-9477-83c590977956,50,11300,Stats,11300,24,,128,1,14.299136,0.0045396825396825,0.0045396825396825,1712868325729,1712868325753,False,./profiling/aes_inputs/run94.json,11281.0,0.004534647480939431,13.641277440000017
AS-440d2820-fd49-4843-b37b-c7b982c83d33,50,3700,AES2,14800,3249,4427.0,256,8,30.367744,1.302975,1.1058920743569651,1712868331538,1712868334787,False,./profiling/aes_inputs/run18.json,14492.0,1.3627511472186924,29.56152832000004
AS-be9a95dd-4bbc-4411-8a14-1c2184ffbc6f,50,8400,wait1,8400,1007,,128,1,11.40736,0.0108153846153846,0.0064450557449919,1712868336553,1712868337560,False,./profiling/aes_inputs/run65.json,8380.0,0.015870582720588156,11.132436479999994
AS-c3de0742-f817-4cdf-9ed6-726bb2960fd0,50,5800,wait1,5800,1006,,128,1,11.190272,0.0165151515151515,0.0056232371466036,1712868347978,1712868348984,False,./profiling/aes_inputs/run39.json,5794.0,0.015134067460317441,10.688880640000004
AS-bf76672b-830f-4e32-a35a-8cc34f9a59af,50,11500,AES3,103500,13360,13360.0,256,8,36.9664,2.0023461538461538,1.8509336947508013,1712868357548,1712868370908,False,./profiling/aes_inputs/run96.json,102591.0,2.3071899852886757,35.98647295999996
AS-45ab9273-917c-4555-ad83-6c83bfaae573,50,3200,wait1,3200,1009,,128,1,11.218944,0.0186666666666666,0.0069529367996863,1712868371515,1712868372524,False,./profiling/aes_inputs/run13.json,3182.0,0.020342185245310156,11.234631680000005
AS-506dbcb5-7b5e-4a36-bdf5-01f905645cc9,50,9500,AES3,85500,11484,11484.0,256,8,36.78208,2.002602564102564,1.7938545947921285,1712868388076,1712868399560,False,./profiling/aes_inputs/run76.json,84960.0,4.907665073767941,36.11271168000005
AS-506dbcb5-7b5e-4a36-bdf5-01f905645cc9,50,9500,Stats,9500,24,,128,1,13.94688,0.004,0.004,1712868399592,1712868399616,False,./profiling/aes_inputs/run76.json,9484.0,0.005794762406947829,13.651967999999995
AS-ac3d54b3-ace9-4760-bb83-c0fe422d1040,50,11600,wait1,11600,1009,,128,1,11.411456,0.0227343749999999,0.0066492351095362,1712868400170,1712868401179,False,./profiling/aes_inputs/run97.json,11561.0,0.013791124067164146,10.76674560000001
AS-ac3d54b3-ace9-4760-bb83-c0fe422d1040,50,11600,AES1,11600,5153,16257.0,256,8,24.477696,1.2212558139534884,0.631576515461036,1712868401217,1712868406370,False,./profiling/aes_inputs/run97.json,11559.0,0.6806399782137612,23.93513984
AS-ac3d54b3-ace9-4760-bb83-c0fe422d1040,50,11600,AES2,46400,10987,16257.0,256,8,30.55616,10.005537275064269,1.29866970295889,1712868401212,1712868412199,False,./profiling/aes_inputs/run97.json,45964.0,1.3522413234308461,30.407065599999967
AS-ac3d54b3-ace9-4760-bb83-c0fe422d1040,50,11600,AES3,104400,16257,16257.0,256,8,36.958208,4.922399014778326,1.8726901481903588,1712868401218,1712868417475,False,./profiling/aes_inputs/run97.json,104706.0,2.1932898239707006,36.054425600000044
AS-164f1d05-d818-4835-90cc-0e6c639148c7,50,4300,AES1,4300,1681,5080.0,256,8,24.63744,0.6544753086419753,0.6180199912312704,1712868419099,1712868420780,False,./profiling/aes_inputs/run24.json,4281.0,0.6588766174783403,22.539591679999994
AS-c306b18f-1218-4dc0-a4cc-da94ed61d8c7,50,5400,AES3,48600,6558,6558.0,256,8,36.630528,2.553540650406504,1.846895802681738,1712868434657,1712868441215,False,./profiling/aes_inputs/run35.json,48195.0,1.9690670919508941,35.532267520000055
AS-c553a011-b466-4f4b-9118-c3085f4e11f3,50,9700,wait1,9700,1008,,128,1,11.264,0.0115757575757575,0.0062822477617017,1712868447981,1712868448989,False,./profiling/aes_inputs/run78.json,9686.0,0.00964281250000002,10.57173504
AS-c553a011-b466-4f4b-9118-c3085f4e11f3,50,9700,AES2,38800,7654,11362.0,256,8,30.232576,1.3374038461538462,1.218879827682541,1712868449055,1712868456709,False,./profiling/aes_inputs/run78.json,38180.0,1.620948714949345,30.483824640000037
AS-fca9558c-ceb1-4f0f-9879-1f8e9b5d2b57,50,8200,AES1,8200,3141,9490.0,256,8,24.403968,0.6739935483870968,0.6256583713025585,1712868462140,1712868465281,False,./profiling/aes_inputs/run63.json,8192.0,0.6552207941204133,24.058593279999982
AS-fca9558c-ceb1-4f0f-9879-1f8e9b5d2b57,50,8200,AES3,73800,9490,9490.0,256,8,36.241408,2.011341935483871,1.857038023131512,1712868462127,1712868471617,False,./profiling/aes_inputs/run63.json,72981.0,2.0084443229882747,34.86932991999997
AS-5ce7e2f7-c03d-459f-85a4-869531094819,50,3000,AES2,12000,2439,3445.0,256,8,30.580736,1.284024844720497,1.187859585684323,1712868473202,1712868475641,False,./profiling/aes_inputs/run11.json,11780.0,1.3119625412414218,29.746298880000023
AS-30de3244-186f-4486-84bf-336eecb7327b,50,2600,AES1,2600,1070,3040.0,256,8,24.502272,0.648447204968944,0.5964282668439113,1712868478257,1712868479327,False,./profiling/aes_inputs/run7.json,2575.0,0.6537089052476783,22.65829375999999
AS-30de3244-186f-4486-84bf-336eecb7327b,50,2600,Stats,2600,23,,128,1,14.061568,0.003671875,0.003671875,1712868481314,1712868481337,False,./profiling/aes_inputs/run7.json,2579.0,0.00469637702597579,13.139394560000007
