Unique DAG ID,DAG Input Content,DAG Input Size,Function Name,Function Input,Duration,Parallel Duration,Memory_Allocated,CPU_Allocated,Max Memory Usage,Max CPU Usage,Avg CPU Usage,Start Time,End Time,Timeout Status,Input File
AS-97792707-afb3-4c86-8e1c-39a1d3d46df1,100,6500,AES3,58500,14211,14211,256,8,34.279424,16.847592920353982,1.9382740114551817,1712869236614,1712869250825,False,./profiling/aes_inputs_100content/run46.json
AS-97792707-afb3-4c86-8e1c-39a1d3d46df1,100,6500,Stats,6500,25,,128,1,11.59168,0.004857142857142857,0.004857142857142857,1712869250860,1712869250885,False,./profiling/aes_inputs_100content/run46.json
AS-70ad32fe-3549-4c4c-9d28-ac646ab65b91,100,11000,wait1,11000,1013,,128,1,9.744384,0.01784375,0.007325730997613299,1712869251454,1712869252467,False,./profiling/aes_inputs_100content/run91.json
AS-70ad32fe-3549-4c4c-9d28-ac646ab65b91,100,11000,AES1,11000,6752,21042,256,8,22.458368,1.4376370656370656,0.623347365288862,1712869252502,1712869259254,False,./profiling/aes_inputs_100content/run91.json
AS-70ad32fe-3549-4c4c-9d28-ac646ab65b91,100,11000,AES2,44000,14727,21042,256,8,28.667904,7.09564945226917,1.254358277496721,1712869252507,1712869267234,False,./profiling/aes_inputs_100content/run91.json
AS-70ad32fe-3549-4c4c-9d28-ac646ab65b91,100,11000,AES3,99000,21042,21042,256,8,34.11968,2.73602862254025,1.865530963743034,1712869252506,1712869273548,False,./profiling/aes_inputs_100content/run91.json
AS-70ad32fe-3549-4c4c-9d28-ac646ab65b91,100,11000,Stats,11000,28,,128,1,13.14816,0.006707692307692308,0.006707692307692308,1712869273588,1712869273616,False,./profiling/aes_inputs_100content/run91.json
AS-7c2684f7-9e26-4493-92df-dbd9c708f58f,100,10400,wait1,10400,1007,,128,1,9.777152,0.017184615384615385,0.006371160043837988,1712869274091,1712869275098,False,./profiling/aes_inputs_100content/run85.json
AS-7c2684f7-9e26-4493-92df-dbd9c708f58f,100,10400,AES1,10400,6178,18841,256,8,22.274048,0.669525641025641,0.6230341411939007,1712869275137,1712869281315,False,./profiling/aes_inputs_100content/run85.json
AS-7c2684f7-9e26-4493-92df-dbd9c708f58f,100,10400,AES2,41600,12287,18841,256,8,28.450816,1.310616352201258,1.248967860334158,1712869275146,1712869287433,False,./profiling/aes_inputs_100content/run85.json
