num_of_processes,num_of_iterations,length_of_message,max_memory_usage,max_cpu_usage
5,75000,150,35.00032,1.6633962264150943
2,10000,350,21.540864,0.6741612903225807
6,60000,350,32.29696,2.0156387096774195
7,105000,350,40.61184,2.3666363636363634
2,10000,150,22.081536,0.6552704402515723
3,30000,150,24.133632,0.996904458598726
4,60000,150,31.9488,1.3362243589743588
4,20000,250,26.865664,1.373926380368098
6,60000,250,32.03072,2.016567741935484
6,90000,250,37.883904,2.0291493506493508
3,15000,50,24.465408,1.0021730769230768
2,20000,50,21.929984,0.6606898734177215
5,75000,50,34.725888,1.654955128205128
4,20000,150,27.004928,1.327063694267516
2,20000,150,21.905408,0.6798701298701298
8,120000,150,43.384832,2.7035454545454547
2,10000,150,21.807104,0.6596687499999999
6,60000,150,32.641024,2.0025
7,105000,150,41.22624,2.3210382165605097
3,15000,450,24.723456,1.0093612903225808
3,30000,450,24.510464,0.9966687898089172
7,105000,450,41.222144,2.366727272727273
1,5000,150,19.06688,0.3827875
2,20000,150,21.712896,0.678603896103896
8,120000,150,43.913216,2.6661538461538465
2,10000,150,21.676032,0.6693141025641025
4,40000,150,27.131904,1.3359038461538462
6,90000,150,38.416384,2.014748387096774
4,20000,50,27.471872,1.3741493506493507
5,50000,50,30.55616,1.6694935897435896
8,120000,50,43.352064,2.702188311688312
4,20000,350,27.144192,1.3374580645161291
6,60000,350,33.56672,2.0339741935483877
7,105000,350,40.751104,2.3513161290322584
4,20000,450,27.066368,1.3448967741935485
6,60000,450,32.825344,2.028616883116883
6,90000,450,37.86752,2.027922077922078
1,5000,150,18.948096,0.415373417721519
3,30000,150,24.727552,0.9970063694267516
4,60000,150,32.11264,1.325246835443038
2,10000,450,21.721088,0.6784777070063694
4,40000,450,27.32032,1.3485769230769231
7,105000,450,40.583168,2.3337371794871795
2,10000,150,22.044672,0.6700250000000001
3,30000,150,24.71936,1.0032564102564103
8,120000,150,42.96704,2.632132911392405
3,15000,350,24.588288,1.0112038216560508
4,40000,350,27.488256,1.3449806451612902
8,120000,350,43.659264,2.7169025974025973
1,5000,350,19.132416,0.3501870967741935
2,20000,350,21.839872,0.6743483870967742
8,120000,350,43.556864,2.7186625766871164
4,20000,150,26.86976,1.3441870967741938
2,20000,150,21.803008,0.674
5,75000,150,34.783232,1.728956204379562
3,15000,450,24.510464,1.0157727272727273
3,30000,450,24.96512,1.009774193548387
8,120000,450,43.646976,2.684696774193549
2,10000,350,21.966848,0.665484076433121
4,40000,350,26.963968,1.3784649681528662
7,105000,350,40.706048,2.365320754716981
1,5000,50,19.329024,0.3344076433121019
5,50000,50,29.98272,1.62820625
6,90000,50,37.507072,1.9867133757961783
2,10000,150,21.97504,0.6804193548387096
6,60000,150,32.41984,2.0025
