Unique DAG ID,DAG Input,Function Name,Input Feature,Duration,Parallel Duration,Memory_Allocated,CPU_Allocated,Max Memory Usage,Max CPU Usage,Start Time,End Time,Timeout Status,Input File
AS-14203672-7344-4c85-970f-41581266142c,0.011647619047619047,AES2,0.005983458646616541,24625,36470,256,8,24.469504,0.9968216560509555,1711649588579,1711649613204,False,./profileRun/aes_run285.json
AS-14203672-7344-4c85-970f-41581266142c,0.011647619047619047,AES3,0.022600000000000002,36470,36470,256,8,40.886272,2.686774193548387,1711649586919,1711649623389,False,./profileRun/aes_run285.json
AS-14203672-7344-4c85-970f-41581266142c,0.011647619047619047,Stats,,243,,128,1,10.924032,0.0042923076923076925,1711649623972,1711649624215,False,./profileRun/aes_run285.json
AS-f010eb78-a1ba-45c6-b2b9-16c2723607ec,0.00970325814536341,wait1,,1248,,128,1,9.732096,0.008746031746031746,1711649625224,1711649626472,False,./profileRun/aes_run310.json
AS-f010eb78-a1ba-45c6-b2b9-16c2723607ec,0.00970325814536341,AES1,0.0005052631578947368,16647,49835,256,8,19.120128,0.3383096774193548,1711649627205,1711649643852,False,./profileRun/aes_run310.json
AS-f010eb78-a1ba-45c6-b2b9-16c2723607ec,0.00970325814536341,AES2,0.005993984962406015,32587,49835,256,8,24.539136,1.0026666666666668,1711649628503,1711649661090,False,./profileRun/aes_run310.json
AS-f010eb78-a1ba-45c6-b2b9-16c2723607ec,0.00970325814536341,AES3,0.022610526315789477,49835,49835,256,8,40.730624,2.7186274509803923,1711649627730,1711649677565,False,./profileRun/aes_run310.json
AS-f010eb78-a1ba-45c6-b2b9-16c2723607ec,0.00970325814536341,Stats,,273,,128,1,11.30496,0.0058923076923076915,1711649678939,1711649679212,False,./profileRun/aes_run310.json
AS-9297ab19-c354-4184-86ac-9b2cd9396c3f,0.01413934837092732,wait1,,1255,,128,1,9.588736,0.012703125,1711649680333,1711649681588,False,./profileRun/aes_run400.json
AS-9297ab19-c354-4184-86ac-9b2cd9396c3f,0.01413934837092732,AES1,0.006369924812030076,17007,49025,256,8,27.099136,1.3364807692307692,1711649683130,1711649700137,False,./profileRun/aes_run400.json
AS-9297ab19-c354-4184-86ac-9b2cd9396c3f,0.01413934837092732,AES2,0.013437593984962408,32752,49025,256,8,32.362496,2.016458064516129,1711649682318,1711649715070,False,./profileRun/aes_run400.json
AS-9297ab19-c354-4184-86ac-9b2cd9396c3f,0.01413934837092732,AES3,0.022610526315789477,49025,49025,256,8,41.69728,2.7069738562091503,1711649682354,1711649731379,False,./profileRun/aes_run400.json
AS-9297ab19-c354-4184-86ac-9b2cd9396c3f,0.01413934837092732,Stats,,247,,128,1,11.051008,0.0052812499999999995,1711649732711,1711649732958,False,./profileRun/aes_run400.json
AS-941b02ea-305b-476c-8892-87eca36ed4f3,0.00831829573934837,wait1,,1244,,128,1,9.658368,0.011596774193548386,1711649734017,1711649735261,False,./profileRun/aes_run17.json
AS-941b02ea-305b-476c-8892-87eca36ed4f3,0.00831829573934837,AES1,0.00047368421052631577,4115,11351,256,8,19.202048,0.33425477707006374,1711649736968,1711649741083,False,./profileRun/aes_run17.json
AS-941b02ea-305b-476c-8892-87eca36ed4f3,0.00831829573934837,AES2,0.010924812030075188,7937,11351,256,8,29.270016,1.6500191082802549,1711649736142,1711649744079,False,./profileRun/aes_run17.json
AS-941b02ea-305b-476c-8892-87eca36ed4f3,0.00831829573934837,AES3,0.01355639097744361,11351,11351,256,8,33.079296,1.6910628930817608,1711649736435,1711649747786,False,./profileRun/aes_run17.json
AS-941b02ea-305b-476c-8892-87eca36ed4f3,0.00831829573934837,Stats,,259,,128,1,9.883648,0.005095238095238095,1711649748211,1711649748470,False,./profileRun/aes_run17.json
AS-54d025a3-bce8-40a2-9a54-9d4a5d7e37b7,0.008184962406015038,wait1,,1241,,128,1,9.814016,0.01446875,1711649749462,1711649750703,False,./profileRun/aes_run453.json
AS-54d025a3-bce8-40a2-9a54-9d4a5d7e37b7,0.008184962406015038,AES1,0.004425563909774436,21602,63434,256,8,24.768512,1.014075,1711649752011,1711649773613,False,./profileRun/aes_run453.json
AS-54d025a3-bce8-40a2-9a54-9d4a5d7e37b7,0.008184962406015038,AES2,0.0035233082706766913,42109,63434,256,8,21.917696,0.6717820512820514,1711649750812,1711649792921,False,./profileRun/aes_run453.json
AS-54d025a3-bce8-40a2-9a54-9d4a5d7e37b7,0.008184962406015038,AES3,0.016606015037593985,63434,63434,256,8,36.610048,2.003403846153846,1711649751785,1711649815219,False,./profileRun/aes_run453.json
AS-54d025a3-bce8-40a2-9a54-9d4a5d7e37b7,0.008184962406015038,Stats,,239,,128,1,11.436032,0.002692307692307692,1711649816519,1711649816758,False,./profileRun/aes_run453.json
AS-01031711-f16e-425f-bc82-f501fbf35dab,0.011647619047619047,wait1,,1253,,128,1,9.560064,0.010121212121212121,1711649817969,1711649819222,False,./profileRun/aes_run269.json
AS-01031711-f16e-425f-bc82-f501fbf35dab,0.011647619047619047,AES1,0.004404511278195489,12533,36219,256,8,24.71936,1.0030576923076922,1711649820017,1711649832550,False,./profileRun/aes_run269.json
AS-01031711-f16e-425f-bc82-f501fbf35dab,0.011647619047619047,AES2,0.010945864661654136,24870,36219,256,8,29.794304,1.7071032258064518,1711649821078,1711649845948,False,./profileRun/aes_run269.json
AS-01031711-f16e-425f-bc82-f501fbf35dab,0.011647619047619047,AES3,0.01959248120300752,36219,36219,256,8,40.517632,2.335224358974359,1711649820522,1711649856741,False,./profileRun/aes_run269.json
AS-01031711-f16e-425f-bc82-f501fbf35dab,0.011647619047619047,Stats,,257,,128,1,10.702848,0.005692307692307693,1711649858334,1711649858591,False,./profileRun/aes_run269.json
AS-e20e1c55-9dd2-432c-b118-1f7062c93b5f,0.009001503759398496,wait1,,1229,,128,1,9.70752,0.0115,1711649859660,1711649860889,False,./profileRun/aes_run358.json
AS-e20e1c55-9dd2-432c-b118-1f7062c93b5f,0.009001503759398496,AES1,0.004415037593984962,16504,48554,256,8,24.195072,1.0052193548387096,1711649861759,1711649878263,False,./profileRun/aes_run358.json
AS-e20e1c55-9dd2-432c-b118-1f7062c93b5f,0.009001503759398496,AES2,0.005993984962406015,32915,48554,256,8,24.502272,1.0088645161290324,1711649862595,1711649895510,False,./profileRun/aes_run358.json
AS-e20e1c55-9dd2-432c-b118-1f7062c93b5f,0.009001503759398496,AES3,0.01659548872180451,48554,48554,256,8,38.223872,2.002089743589744,1711649862068,1711649910622,False,./profileRun/aes_run358.json
AS-e20e1c55-9dd2-432c-b118-1f7062c93b5f,0.009001503759398496,Stats,,256,,128,1,11.190272,0.004968253968253969,1711649911988,1711649912244,False,./profileRun/aes_run358.json
AS-953b3c27-e86a-489a-9d02-746e5d87966a,0.011658145363408522,wait1,,1239,,128,1,10.080256,0.01042857142857143,1711649913270,1711649914509,False,./profileRun/aes_run385.json
AS-953b3c27-e86a-489a-9d02-746e5d87966a,0.011658145363408522,AES1,0.006369924812030076,16820,49138,256,8,27.426816,1.3446064516129033,1711649916061,1711649932881,False,./profileRun/aes_run385.json
AS-953b3c27-e86a-489a-9d02-746e5d87966a,0.011658145363408522,AES2,0.005993984962406015,33141,49138,256,8,24.518656,1.0190191082802549,1711649915920,1711649949061,False,./profileRun/aes_run385.json
AS-953b3c27-e86a-489a-9d02-746e5d87966a,0.011658145363408522,AES3,0.022610526315789477,49138,49138,256,8,43.298816,2.6878709677419357,1711649914633,1711649963771,False,./profileRun/aes_run385.json
AS-953b3c27-e86a-489a-9d02-746e5d87966a,0.011658145363408522,Stats,,254,,128,1,11.034624,0.00515625,1711649965123,1711649965377,False,./profileRun/aes_run385.json
